uuid;style;artist;title_music;lastfm_music_url;lastfm_artist_url;videoID_youtube;chroma_stft;mfcc;spec_cent;spec_bw;zcr;spec_rolloff
bb89dfba;rap;OutKast;Hey Ya!;https://www.last.fm/music/outkast;https://www.last.fm/music/outkast/_/hey%2bya%2521;PWgvGjAhvIw;0.452176350452004;0.9822285857986792;2007.2250506545315;2054.6177633310785;0.10244569093014114;3910.0197357460975
2c4e0101;rap;Ice Cube;It Was A Good Day;https://www.last.fm/music/ice%2bcube;https://www.last.fm/music/ice%2bcube/_/it%2bwas%2ba%2bgood%2bday;h4UqMyldS7Q;0.42234279247769135;-7.466609465869838;1929.492041549064;2256.486752476523;0.08195734601281099;4080.394066358383
3b5f784d;rap;The Notorious B.I.G.;Juicy;https://www.last.fm/music/the%2bnotorious%2bb.i.g.;https://www.last.fm/music/the%2bnotorious%2bb.i.g./_/juicy;_JZom_gVfuw;0.38035376126865;-3.101425997133786;2483.7634080657504;2396.826806005135;0.11374076359136175;5069.073599973946
580bf2c6;rap;Eminem;Without Me;https://www.last.fm/music/eminem;https://www.last.fm/music/eminem/_/without%2bme;YVkUvmDQ3HY;0.4385891712266156;2.2597445627531103;2657.6314945705803;2705.041600412633;0.08916295249088227;5553.940596779943
11ca4bc6;rap;Dr. Dre;The Next Episode;https://www.last.fm/music/dr.%2bdre;https://www.last.fm/music/dr.%2bdre/_/the%2bnext%2bepisode;QZXc39hT8t4;0.4173726207499168;-5.303477824483249;2437.327243156474;2444.430562603513;0.12508367780222493;5172.411990240502
ed847f59;rap;Eminem;The Real Slim Shady;https://www.last.fm/music/eminem;https://www.last.fm/music/eminem/_/the%2breal%2bslim%2bshady;eJO5HU_7_1w;0.4378454627423357;-2.375080330332118;2209.862954834256;2255.3797966710385;0.10715609468595363;4377.8811497410525
2c6df720;rap;Kanye West;Love Lockdown;https://www.last.fm/music/kanye%2bwest;https://www.last.fm/music/kanye%2bwest/_/love%2blockdown;HZwMX6T5Jhk;0.4731181495917566;2.9616184800160386;1177.6887975286504;1695.8598774562909;0.030091402823464918;2613.4317930893376
361f35f1;rap;Kanye West;Can't Tell Me Nothing;https://www.last.fm/music/kanye%2bwest;https://www.last.fm/music/kanye%2bwest/_/can%2527t%2btell%2bme%2bnothing;E58qLXBfLrs;0.4284589717004375;4.12615280782323;2346.145953495877;2596.055305468305;0.07716642307548499;5280.322897832584
1d9be6d0;rap;Black Eyed Peas;Boom Boom Pow;https://www.last.fm/music/black%2beyed%2bpeas;https://www.last.fm/music/black%2beyed%2bpeas/_/boom%2bboom%2bpow;4m48GqaOz90;0.4265542807386414;-4.81459326955065;2231.785503532732;2289.706709511242;0.0959064174045187;4528.495732160576
888a340a;rap;Kanye West;All of the Lights;https://www.last.fm/music/kanye%2bwest;https://www.last.fm/music/kanye%2bwest/_/all%2bof%2bthe%2blights;HAfFfqiYLp0;0.35586056265121113;-0.7172482960843269;1857.7330099467904;2104.809586872371;0.07086140549704131;3880.217280484861
5a7d0b01;rap;Beastie Boys;Sabotage;https://www.last.fm/music/beastie%2bboys;https://www.last.fm/music/beastie%2bboys/_/sabotage;z5rRZdiu1UE;0.4589385851721757;0.188530110736264;1733.6617414189386;2066.8050937885073;0.06979144610154052;3717.790657185861
